parent,address,distance,pname,importance,biz_ext,biz_type,cityname,type,photos,typecode,shopinfo,poiweight,childtype,adname,name,location,tel,shopid,id
B0FFK4HFDB,石井街道田头社区兰田路3002号深圳技术大学,139,广东省,[],"{'cost': [], 'opentime2': '周一至周五 09:00-21:00', 'rating': '4.4', 'open_time': '09:00-21:00', 'meal_ordering': '0'}",diner,深圳市,餐饮服务;中餐厅;中餐厅,"[{'title': [], 'url': 'https://aos-comment.amap.com/B0JGPAK0BH/comment/140b4dbdbaed63e66440d348aee457d4_2048_2048_80.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0JGPAK0BH/comment/6fa2467c1b65429a31ce46b944bd8064_2048_2048_80.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0JGPAK0BH/comment/content_media_external_images_media_100012180_1745845676162_14449066.jpg'}]",050100,0,[],309,坪山区,深圳技术大学湖景餐厅,"114.398261,22.701848",[],[],B0JGPAK0BH
B0FFH2SMWE,石井街道田头社区竹坳路3号竹韵花园,227,广东省,[],"{'cost': [], 'opentime2': '周一至周六 07:00-09:00,11:00-13:00,17:00-22:00', 'rating': '4.4', 'open_time': [], 'meal_ordering': '0'}",diner,深圳市,餐饮服务;中餐厅;中餐厅,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/ec188b2473116fd161317a4ab40b49f7'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/d2337c027019db7786090bb1610c06e4'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0K1TBU0ND/comment/98232FF3_BBC7_49DA_97F2_8A8BDCB4D186_L0_001_1080_192_1759540396723_42750654.jpg'}]",050100,0,[],320,坪山区,深圳技术大学学生餐厅(竹韵),"114.400368,22.702151",[],[],B0K1TBU0ND
[],石井街道深圳技术大学图书馆2层207室,232,广东省,[],"{'cost': '14.00', 'opentime2': '周一至周日 07:00-22:00', 'rating': '4.5', 'open_time': '07:00-22:00', 'meal_ordering': '0'}",diner,深圳市,餐饮服务;咖啡厅;咖啡厅,"[{'title': [], 'url': 'https://store.is.autonavi.com/showpic/c287706810a95e84ab635a931ccf264d?operate=original'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/3d4e77877d3c98ba990a9c016557bef2'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0LB9MP76W/comment/content_media_external_file_100000800_1751178522866_49916224.jpg'}]",050500,0,[],[],坪山区,瑞幸咖啡(深圳技术大学图书馆店),"114.397645,22.698916",[],[],B0LB9MP76W
[],石井街道田头社区马鞍岭西区三巷1-3号,409,广东省,[],"{'cost': '12.00', 'opentime2': '周一至周日 09:00-22:00', 'rating': '4.2', 'open_time': '09:00-22:00', 'meal_ordering': '0'}",diner,深圳市,餐饮服务;冷饮店;冷饮店,"[{'title': [], 'url': 'https://aos-comment.amap.com/B0K1UCGBQN/comment/IMG_20250625_174013_tem_1750844432152_09909455.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0K1UCGBQN/comment/IMG_20250625_174100_tem_1750844479239_44878718.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0K1UCGBQN/comment/IMG_20250625_174143_tem_1750844524429_03718587.jpg'}]",050700,0,[],[],坪山区,可甜可咸技术大学店,"114.402559,22.701954",13640998907,[],B0K1UCGBQN
[],石井街道田头社区马鞍岭西区三巷1-3号,409,广东省,[],"{'cost': '27.00', 'opentime2': '周一至周日 00:00-24:00', 'rating': '3.8', 'open_time': '24小时营业', 'meal_ordering': '0'}",diner,深圳市,餐饮服务;餐饮相关场所;餐饮相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/ee5ee6cf407cca2ad6e0328da36c91a7'}]",050000,1,[],[],坪山区,江南粥铺(竹坑店),"114.402559,22.701954",18320779836,[],B0J2CZZ0LU
[],深圳技术大学国际学术交流中心1034酒店,429,广东省,[],"{'cost': [], 'opentime2': '周一至周日 00:00-24:00', 'rating': '4.4', 'open_time': '24小时营业', 'meal_ordering': '0'}",diner,深圳市,餐饮服务;中餐厅;中餐厅,"[{'title': [], 'url': 'https://aos-comment.amap.com/B0JGUSI0MI/comment/eb857a143f36764eb6d022fe927e7b64_2048_2048_80.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0I3MUOP3E/comment/c7de215a8f504845365c3fc1a37db4d8_2048_2048_80.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0I3MUOP3E/comment/de0485b2db456961e7c599f735876d84_2048_2048_80.jpg'}]",050100,0,[],[],坪山区,深圳技术大学1034餐厅,"114.394693,22.701413",0755-89663333,[],B0I3MUOP3E
[],创鞍路与马鞍岭路交叉口西北40米,441,广东省,[],"{'cost': [], 'opentime2': [], 'rating': '3.6', 'open_time': [], 'meal_ordering': '0'}",diner,深圳市,餐饮服务;快餐厅;快餐厅,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/e148b0b4f6a62270f938fd500fb91cf8'}]",050300,0,[],[],坪山区,有明原味猪脚饭,"114.402869,22.702011",15013761593,[],B0H0VS1IFN
[],创鞍路与马鞍岭路交叉口西北80米,445,广东省,[],"{'cost': '22.00', 'opentime2': [], 'rating': '4.0', 'open_time': [], 'meal_ordering': '0'}",diner,深圳市,餐饮服务;中餐厅;中餐厅,[],050100,0,[],[],坪山区,技大阿叔炒粉,"114.402772,22.702329",13632922447,[],B0JA9NGKAX
[],石井街道马鞍岭西区一巷2号潮客鲍汁猪扒饭,461,广东省,[],"{'cost': [], 'opentime2': '周一至周日 08:00-22:00', 'rating': '4.3', 'open_time': '08:00-22:00', 'meal_ordering': '0'}",diner,深圳市,餐饮服务;中餐厅;中餐厅,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/93d7729c7bd29ad05c78efe414772505'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/323dbc0d97b6883709cad7e77ce25ef7'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/ac4bbfb37f5d4657bdb1667a30ce6d14'}]",050100,1,[],[],坪山区,潮客鲍汁猪扒饭,"114.403041,22.702092",13480735689,[],B0J37HUVXH
[],创景路与坪河南路交叉口马鞍岭西区1-1,466,广东省,[],"{'cost': [], 'opentime2': '09:30-23:00', 'rating': '3.5', 'open_time': '09:30-23:00', 'meal_ordering': '0'}",diner,深圳市,餐饮服务;中餐厅;湖南菜(湘菜),"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/54a363d3a0e63abf78ded96264d89ba2'}]",050108,0,[],[],坪山区,秀婷湘菜馆,"114.403133,22.701975",13530099091,[],B0FFKK7PIB
